,住宿场所名称,省份,城市,商圈,星级,是否为客栈,房间数,评分,评论数,城市平均实住间夜,酒店总订单,酒店总间夜,酒店实住订单,酒店实住间夜,酒店直销订单,酒店直销间夜,酒店直销实住订单,酒店直销实住间夜,酒店直销拒单,酒店直销拒单率,城市直销订单,城市直销拒单率
2435,阿坝九寨沟娜娜驿站,四川,阿坝,毕棚沟,二星及其他,低星,15,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2436,阿坝水全乡村客栈,四川,阿坝,毕棚沟,二星及其他,低星,15,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2437,松坪沟怡和羌家客栈,四川,阿坝,毕棚沟,二星及其他,低星,48,2.428570032,3,34.06,27,36,24,33,23,31,22,30,1,0.0435,34147.0,0.079
2438,茂县山水羌家会员酒店,四川,阿坝,毕棚沟,二星及其他,低星,41,1.0,1,34.06,13,19,4,8,13,19,4,8,5,0.3846,34147.0,0.079
2439,松潘贡恭仓藏家客栈,四川,阿坝,毕棚沟,二星及其他,低星,7,5.0,1,34.06,4,4,3,3,1,1,1,1,0,0.0,34147.0,0.079
2440,阿坝若尔盖西御饭店,四川,阿坝,西部旅游牧场,二星及其他,低星,44,3.153850079,2,34.06,10,15,8,12,10,15,8,12,1,0.1,34147.0,0.079
2441,阿坝松坪沟大酒店,四川,阿坝,毕棚沟,二星及其他,低星,28,4.817389965,19,34.06,64,113,39,65,54,86,33,50,0,0.0,34147.0,0.079
2442,阿坝米亚罗印象度假酒店,四川,阿坝,毕棚沟,二星及其他,低星,24,4.139910221,26,34.06,55,87,39,63,55,87,39,63,1,0.0182,34147.0,0.079
2443,汶川红军桥大酒店,四川,阿坝,毕棚沟,二星及其他,低星,40,5.0,1,34.06,2,3,1,1,1,1,1,1,0,0.0,34147.0,0.079
2444,阿坝雪域阿桑客栈,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,1,1.0,34147.0,0.079
2445,阿坝雨霏客栈,四川,阿坝,毕棚沟,二星及其他,低星,5,5.0,1,34.06,1,2,1,1,1,1,1,1,0,0.0,34147.0,0.079
2446,阿坝杨三姐客栈,四川,阿坝,九寨沟沟口,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2447,九寨沟寨中寨精品客栈,四川,阿坝,漳扎镇,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2448,阿坝木尔巴客栈,四川,阿坝,毕棚沟,二星及其他,低星,10,5.0,4,34.06,18,24,13,16,18,24,13,16,0,0.0,34147.0,0.079
2449,阿坝理县西致和酒店理县客运站店,四川,阿坝,毕棚沟,二星及其他,低星,37,4.643620014,46,34.06,41,60,23,34,35,53,19,29,1,0.0286,34147.0,0.079
2450,阿坝自家人客栈,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2451,九寨沟婷禹客栈,四川,阿坝,九寨沟县城,二星及其他,低星,6,5.0,1,34.06,4,8,1,3,2,2,1,1,1,0.5,34147.0,0.079
2452,茂县羌乡情生态农庄,四川,阿坝,毕棚沟,二星及其他,低星,30,5.0,1,34.06,1,1,1,1,1,1,1,1,1,1.0,34147.0,0.079
2453,阿坝毕棚沟家园宾馆,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,9,16,2,4,9,16,2,4,2,0.2222,34147.0,0.079
2454,阿坝九寨沟居家客栈,四川,阿坝,九寨沟沟口,二星及其他,低星,13,5.0,2,34.06,3,10,1,1,3,10,1,1,2,0.6667,34147.0,0.079
2455,阿坝卓玛木屋客栈,四川,阿坝,毕棚沟,二星及其他,低星,5,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2456,理县赞多家园,四川,阿坝,古尔沟,二星及其他,低星,18,5.0,1,34.06,34,50,22,34,34,50,22,34,4,0.1176,34147.0,0.079
2457,阿坝松坪沟红云农家,四川,阿坝,毕棚沟,二星及其他,低星,20,4.6875,5,34.06,12,16,1,1,6,9,1,1,4,0.6667,34147.0,0.079
2458,阿坝景鼎客栈,四川,阿坝,达古冰川,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2459,九寨沟大唐扶州酒店,四川,阿坝,九寨沟县城,二星及其他,低星,50,4.69907999,38,34.06,52,86,39,63,27,40,17,23,1,0.037,34147.0,0.079
2460,九寨沟萱缘酒店,四川,阿坝,毕棚沟,二星及其他,低星,30,4.823800087,202,34.06,272,491,176,337,271,489,176,337,1,0.0037,34147.0,0.079
2461,阿坝冰雪彩缘客栈,四川,阿坝,达古冰川,二星及其他,低星,40,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2462,阿坝西雅莫客栈,四川,阿坝,达古冰川,二星及其他,低星,30,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2463,阿坝茂县松坪沟白腊村田园农家酒店,四川,阿坝,毕棚沟,二星及其他,低星,26,5.0,2,34.06,14,23,1,1,11,12,1,1,6,0.5455,34147.0,0.079
2464,理县嘉绒驿站,四川,阿坝,毕棚沟,二星及其他,低星,13,5.0,1,34.06,2,3,1,1,1,1,1,1,0,0.0,34147.0,0.079
2465,理县毕棚沟绒鑫酒店,四川,阿坝,毕棚沟,二星及其他,低星,30,4.931029797,4,34.06,50,83,32,60,45,73,29,53,7,0.1556,34147.0,0.079
2466,格林豪泰九寨沟风景区快捷酒店,四川,阿坝,漳扎镇,经济型,低星,78,3.702970028,29,34.06,108,206,83,148,104,200,81,145,0,0.0,34147.0,0.079
2467,阿坝松坪沟君悦酒店,四川,阿坝,毕棚沟,二星及其他,低星,32,3.0,1,34.06,16,20,4,4,16,20,4,4,6,0.375,34147.0,0.079
2468,阿坝松坪沟丽景轩酒店,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,11,34.06,51,90,19,36,51,90,19,36,8,0.1569,34147.0,0.079
2469,阿坝马尔康山水驿栈,四川,阿坝,毕棚沟,二星及其他,低星,10,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2470,阿坝羌碉客栈,四川,阿坝,水磨镇,二星及其他,低星,13,5.0,1,34.06,9,10,1,1,9,10,1,1,4,0.4444,34147.0,0.079
2471,阿坝松坪沟华剑宇农家,四川,阿坝,毕棚沟,二星及其他,低星,17,5.0,14,34.06,27,41,12,18,20,30,9,14,4,0.2,34147.0,0.079
2472,黑水县安多吉祥客栈,四川,阿坝,达古冰川,二星及其他,低星,40,5.0,2,34.06,9,16,1,2,3,7,1,1,3,1.0,34147.0,0.079
2473,阿坝冰山度假客栈,四川,阿坝,达古冰川,二星及其他,低星,46,5.0,1,34.06,1,1,1,1,1,1,1,1,1,1.0,34147.0,0.079
2474,阿坝茂县药王农庄,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2475,茂县松坪沟尔玛农家,四川,阿坝,毕棚沟,二星及其他,低星,14,4.454549789,2,34.06,32,45,6,9,26,36,4,7,7,0.2692,34147.0,0.079
2476,阿坝白云人家客栈,四川,阿坝,达古冰川,二星及其他,低星,30,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2477,阿坝理县永恒商务宾馆,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2478,阿坝金悦爱客酒店,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2479,阿坝九寨沟九雅酒店,四川,阿坝,漳扎镇,二星及其他,低星,50,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2480,阿坝松坪沟睿美酒店,四川,阿坝,毕棚沟,二星及其他,低星,34,5.0,1,34.06,8,19,4,7,8,19,4,7,2,0.25,34147.0,0.079
2481,阿坝马尔康嘉禾商务宾馆,四川,阿坝,毕棚沟,二星及其他,低星,30,3.268909931,7,34.06,16,20,4,4,15,18,4,4,3,0.2,34147.0,0.079
2482,阿坝黑玛瑙客栈,四川,阿坝,达古冰川,二星及其他,低星,35,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2483,阿坝藏韵茶香客栈,四川,阿坝,毕棚沟,二星及其他,低星,7,5.0,1,34.06,1,2,1,1,1,1,1,1,0,0.0,34147.0,0.079
2484,汶川阳光宾馆,四川,阿坝,水磨镇,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2485,理县米亚罗玛尼之家住宿,四川,阿坝,米亚罗,二星及其他,低星,10,4.592589855,19,34.06,86,125,52,73,66,92,43,59,1,0.0152,34147.0,0.079
2486,阿坝茂县林源酒店,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,2,2,1,1,2,2,1,1,1,0.5,34147.0,0.079
2487,阿坝毕棚沟大自然酒店,四川,阿坝,毕棚沟,二星及其他,低星,22,5.0,29,34.06,96,113,58,66,96,113,58,66,2,0.0208,34147.0,0.079
2488,汶川岷禹酒店,四川,阿坝,毕棚沟,二星及其他,低星,43,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2489,阿坝桑吉藏家住宿,四川,阿坝,达古冰川,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2490,阿坝黑水格桑花宾馆,四川,阿坝,达古冰川,二星及其他,低星,30,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2491,阿坝茂县利红休闲农庄,四川,阿坝,毕棚沟,二星及其他,低星,10,5.0,1,34.06,1,1,1,1,1,1,1,1,1,1.0,34147.0,0.079
2492,阿坝喜杨杨酒店,四川,阿坝,桃坪羌寨,二星及其他,低星,10,5.0,3,34.06,16,26,8,13,14,24,8,13,4,0.2857,34147.0,0.079
2493,红原洽嫆博姆林卡客栈,四川,阿坝,毕棚沟,二星及其他,低星,9,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2494,阿坝毕棚沟花园酒店,四川,阿坝,毕棚沟,二星及其他,低星,40,4.736839771,4,34.06,74,143,32,63,74,143,32,63,9,0.1216,34147.0,0.079
2495,马尔康达瓦尼玛青年旅舍,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2496,阿坝八号营地客栈,四川,阿坝,毕棚沟,二星及其他,低星,40,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2497,阿坝黑水尼玛客栈,四川,阿坝,达古冰川,二星及其他,低星,30,5.0,1,34.06,1,1,1,1,1,1,1,1,1,1.0,34147.0,0.079
2498,马尔康雪域尚游大酒店,四川,阿坝,毕棚沟,四星级/高档,OTA,51,4.412620068,35,34.06,103,156,68,100,33,48,20,28,3,0.0909,34147.0,0.079
2499,九寨兰霞酒店,四川,阿坝,九寨沟县城,二星及其他,低星,24,5.0,4,34.06,35,65,9,14,14,26,3,6,4,0.2857,34147.0,0.079
2500,九寨沟开心客栈,四川,阿坝,漳扎镇,二星及其他,低星,18,5.0,1,34.06,16,27,4,7,16,27,4,7,5,0.3125,34147.0,0.079
2501,阿坝理县吉美客栈,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2502,黑水周瑞客栈,四川,阿坝,达古冰川,二星及其他,低星,25,5.0,1,34.06,6,10,1,3,2,2,1,1,1,0.5,34147.0,0.079
2503,理县枫尚宾馆,四川,阿坝,毕棚沟,二星及其他,低星,15,5.0,1,34.06,3,3,1,1,3,3,1,1,3,1.0,34147.0,0.079
2504,阿坝格格家庭客栈,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2505,阿坝毕棚沟王家湾农家,四川,阿坝,毕棚沟,二星及其他,低星,5,5.0,2,34.06,8,19,3,5,6,8,3,5,2,0.3333,34147.0,0.079
2506,阿坝彩林秘境客栈,四川,阿坝,达古冰川,二星及其他,低星,20,5.0,1,34.06,4,11,1,6,4,11,1,6,1,0.25,34147.0,0.079
2507,黑水银吉客栈,四川,阿坝,达古冰川,二星及其他,低星,12,5.0,1,34.06,5,11,2,3,5,11,2,3,1,0.2,34147.0,0.079
2508,阿坝太阳谷假日酒店,四川,阿坝,毕棚沟,二星及其他,低星,20,4.652170181,22,34.06,76,141,49,99,76,141,49,99,5,0.0658,34147.0,0.079
2509,茂县松坪沟邻海别院,四川,阿坝,毕棚沟,二星及其他,低星,19,4.80644989,7,34.06,43,89,15,31,29,65,11,25,5,0.1724,34147.0,0.079
2510,阿坝松潘荣峰商务酒店,四川,阿坝,黄龙机场、川主寺,二星及其他,低星,15,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2511,九寨沟九美客栈,四川,阿坝,毕棚沟,二星及其他,低星,88,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2512,茂县松坪沟神漂休闲中心客房部,四川,阿坝,毕棚沟,二星及其他,低星,58,2.0,1,34.06,13,28,3,3,10,19,3,3,4,0.4,34147.0,0.079
2513,阿坝茂县清波楼客栈,四川,阿坝,坪头羌寨,二星及其他,低星,18,4.5,6,34.06,30,54,16,27,30,54,16,27,3,0.1,34147.0,0.079
2514,阿坝黑水金富客栈,四川,阿坝,达古冰川,二星及其他,低星,32,5.0,1,34.06,6,13,1,1,1,1,1,1,1,1.0,34147.0,0.079
2515,阿坝友来客栈,四川,阿坝,达古冰川,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2516,阿坝客龙酒店,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2517,阿坝醉佳温泉大酒店副楼,四川,阿坝,古尔沟,二星及其他,低星,27,1.0,2,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2518,阿坝雪域阿家客栈,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2519,阿坝毕棚沟马师便民住宿,四川,阿坝,毕棚沟,二星及其他,低星,18,4.938779831,9,34.06,76,110,44,59,61,85,37,51,6,0.0984,34147.0,0.079
2520,阿坝毕棚沟忆景酒店,四川,阿坝,毕棚沟,二星及其他,低星,23,4.196259975,12,34.06,45,66,20,28,29,37,12,16,8,0.2759,34147.0,0.079
2521,阿坝理县毕棚沟高原红酒店,四川,阿坝,毕棚沟,二星及其他,低星,80,4.43076992,17,34.06,120,213,98,180,120,213,98,180,0,0.0,34147.0,0.079
2522,阿坝松坪沟怡景家园酒店,四川,阿坝,毕棚沟,二星及其他,低星,34,5.0,1,34.06,13,22,4,8,10,17,3,6,4,0.4,34147.0,0.079
2523,阿坝松坪沟海景房住宿,四川,阿坝,毕棚沟,二星及其他,低星,12,4.732480049,28,34.06,40,62,23,34,40,62,23,34,3,0.075,34147.0,0.079
2524,阿坝松坪沟红海家园酒店,四川,阿坝,毕棚沟,二星及其他,低星,120,3.754719973,5,34.06,2,3,1,1,2,3,1,1,2,1.0,34147.0,0.079
2525,阿坝毕棚沟印山红酒店,四川,阿坝,毕棚沟,二星及其他,低星,18,5.0,11,34.06,119,193,85,128,119,193,85,128,1,0.0084,34147.0,0.079
2526,阿坝屯兵之家宾馆,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2527,阿坝卡龙沟新月酒店,四川,阿坝,毕棚沟,二星及其他,低星,20,4.97619009,6,34.06,27,34,14,19,20,20,11,11,2,0.1,34147.0,0.079
2528,茂县松坪沟华鑫酒店,四川,阿坝,毕棚沟,二星及其他,低星,30,3.727269888,4,34.06,30,40,13,15,30,40,13,15,5,0.1667,34147.0,0.079
2529,松潘新松精品酒店,四川,阿坝,松潘古城,二星及其他,低星,21,5.0,1,34.06,3,7,1,1,3,7,1,1,2,0.6667,34147.0,0.079
2530,阿坝马尔康四季康城宾馆,四川,阿坝,毕棚沟,二星及其他,低星,20,3.642159939,12,34.06,16,27,5,10,12,16,4,5,1,0.0833,34147.0,0.079
2531,茂县松坪沟宜居阁农庄,四川,阿坝,毕棚沟,二星及其他,低星,19,5.0,2,34.06,36,48,18,23,36,48,18,23,5,0.1389,34147.0,0.079
2532,阿坝九海商务客栈,四川,阿坝,毕棚沟,二星及其他,低星,14,5.0,1,34.06,2,2,1,1,1,1,1,1,0,0.0,34147.0,0.079
2533,阿坝尔吉麦朵山庄,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2534,四姑娘山印象酒店,四川,阿坝,四姑娘山,二星及其他,低星,20,3.921469927,7,34.06,21,32,11,18,21,32,11,18,5,0.2381,34147.0,0.079
2535,阿坝黑水阿芳客栈,四川,阿坝,达古冰川,二星及其他,低星,50,5.0,1,34.06,2,2,1,1,1,1,1,1,0,0.0,34147.0,0.079
2536,阿坝黑水罗桑客栈,四川,阿坝,毕棚沟,二星及其他,低星,36,5.0,1,34.06,3,5,1,1,3,5,1,1,1,0.3333,34147.0,0.079
2537,阿坝毕棚沟兄弟商务客栈,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,3,34.06,6,9,2,2,6,9,2,2,0,0.0,34147.0,0.079
2538,阿坝松坪沟碧水家园农家乐,四川,阿坝,毕棚沟,二星及其他,低星,5,5.0,1,34.06,7,12,4,5,7,12,4,5,3,0.4286,34147.0,0.079
2539,阿坝桃坪羌寨羌山缘酒店,四川,阿坝,桃坪羌寨,二星及其他,低星,10,3.181819916,2,34.06,5,7,3,3,5,7,3,3,2,0.4,34147.0,0.079
2540,阿坝吉祥三宝殿住宿,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,2,34.06,3,6,1,2,3,6,1,2,2,0.6667,34147.0,0.079
2541,阿坝黑水天籁客栈,四川,阿坝,毕棚沟,二星及其他,低星,25,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2542,阿坝理县豪杰宾馆,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2543,阿坝龙门客栈,四川,阿坝,达古冰川,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2544,阿坝九寨沟民族多吉客栈,四川,阿坝,甘海子漳扎镇,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2545,松潘红鑫宾馆,四川,阿坝,黄龙风景区,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2546,理县松尔基藏家乐,四川,阿坝,毕棚沟,二星及其他,低星,10,5.0,1,34.06,20,22,13,14,20,22,13,14,3,0.15,34147.0,0.079
2547,阿坝铃兰别院客栈,四川,阿坝,松潘古城,二星及其他,低星,15,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2548,阿坝王家庭院旅馆,四川,阿坝,毕棚沟,二星及其他,低星,20,1.0,1,34.06,10,14,3,3,1,1,1,1,0,0.0,34147.0,0.079
2549,松潘象雄客栈,四川,阿坝,松潘古城,二星及其他,低星,36,4.448760033,12,34.06,5,6,4,4,5,6,4,4,0,0.0,34147.0,0.079
2550,阿坝风情客栈,四川,阿坝,毕棚沟,二星及其他,低星,30,5.0,1,34.06,4,8,2,4,4,8,2,4,0,0.0,34147.0,0.079
2551,阿坝红原长征第一站牧家乐,四川,阿坝,毕棚沟,二星及其他,低星,26,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2552,阿坝顺风宾馆,四川,阿坝,毕棚沟,二星及其他,低星,21,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2553,阿坝南街藏式玲珑酒店,四川,阿坝,毕棚沟,二星及其他,低星,7,5.0,6,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2554,阿坝德吉客栈,四川,阿坝,达古冰川,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2555,阿坝松坪沟白海羌家酒店,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,2,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2556,阿坝富贵客栈,四川,阿坝,古尔沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2557,阿坝毕棚沟如家山庄,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2558,阿坝九寨沟树豪酒店,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2559,阿坝天天快捷客栈,四川,阿坝,坪头羌寨,二星及其他,低星,19,5.0,1,34.06,8,11,6,7,8,11,6,7,1,0.125,34147.0,0.079
2560,阿坝幸福之家民宿,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,2,2,1,1,2,2,1,1,1,0.5,34147.0,0.079
2561,茂县阳光主题酒店,四川,阿坝,坪头羌寨,二星及其他,低星,17,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2562,阿坝理县建虹客栈,四川,阿坝,毕棚沟,二星及其他,低星,6,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2563,茂县茂缘商务酒店,四川,阿坝,坪头羌寨,二星及其他,低星,20,5.0,1,34.06,6,15,1,1,6,15,1,1,4,0.6667,34147.0,0.079
2564,阿坝克莱乐酒店,四川,阿坝,毕棚沟,二星及其他,低星,18,4.768340111,10,34.06,35,52,16,25,35,52,16,25,3,0.0857,34147.0,0.079
2565,阿坝农家田园酒店,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2566,理县一家人客栈,四川,阿坝,毕棚沟,二星及其他,低星,10,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2567,松潘尔玛藏家驿站,四川,阿坝,黄龙机场、川主寺,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2568,茂县茂静休闲庄,四川,阿坝,毕棚沟,二星及其他,低星,22,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2569,黑水远山近水客栈,四川,阿坝,毕棚沟,二星及其他,低星,12,5.0,1,34.06,4,8,1,1,1,1,1,1,0,0.0,34147.0,0.079
2570,阿坝松坪沟羌寨农家客栈,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2571,阿坝松潘中庭西韵精品酒店,四川,阿坝,松潘古城,二星及其他,低星,38,4.802299976,89,34.06,148,213,94,143,148,213,94,143,1,0.0068,34147.0,0.079
2572,阿坝南山商务客栈,四川,阿坝,毕棚沟,二星及其他,低星,6,5.0,1,34.06,18,27,11,18,18,27,11,18,5,0.2778,34147.0,0.079
2573,四姑娘山德瑞藏家住宿,四川,阿坝,四姑娘山,二星及其他,低星,12,1.307690024,2,34.06,15,23,3,6,5,8,1,2,2,0.4,34147.0,0.079
2574,茂县观景楼酒店,四川,阿坝,坪头羌寨,二星及其他,低星,32,4.61164999,10,34.06,5,7,3,4,5,7,3,4,3,0.6,34147.0,0.079
2575,理县毕棚沟红连山庄,四川,阿坝,毕棚沟,二星及其他,低星,17,5.0,1,34.06,12,13,5,6,8,8,3,3,4,0.5,34147.0,0.079
2576,九寨沟名雅领秀别墅酒店,四川,阿坝,漳扎镇,五星级/豪华,OTA,18,4.878900051,21,34.06,26,47,13,19,1,1,1,1,0,0.0,34147.0,0.079
2577,理县査特藏家乐客栈,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,1,1.0,34147.0,0.079
2578,阿坝毕棚沟山庄,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2579,金川马尔邦风情酒店,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2580,小金阿妈客栈,四川,阿坝,四姑娘山,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2581,汶川瑞逸商务宾馆,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2582,九寨沟藏家花花客栈,四川,阿坝,毕棚沟,二星及其他,低星,15,5.0,1,34.06,2,2,2,2,2,2,2,2,0,0.0,34147.0,0.079
2583,理县孟屯河谷泽尔欢藏家乐,四川,阿坝,毕棚沟,二星及其他,低星,13,4.5,2,34.06,27,32,9,11,22,24,8,10,0,0.0,34147.0,0.079
2584,阿坝秘境大酒店,四川,阿坝,毕棚沟,二星及其他,低星,32,4.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2585,阿坝悦扬酒店,四川,阿坝,九寨沟县城,二星及其他,低星,20,5.0,1,34.06,5,7,1,1,5,7,1,1,3,0.6,34147.0,0.079
2586,黑水缘遇客栈,四川,阿坝,达古冰川,二星及其他,低星,20,1.0,1,34.06,16,21,14,19,16,21,14,19,0,0.0,34147.0,0.079
2587,汶川羌山人家羌家乐,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2588,阿坝小金古月山庄,四川,阿坝,四姑娘山,二星及其他,低星,10,5.0,1,34.06,6,8,2,2,6,8,2,2,1,0.1667,34147.0,0.079
2589,阿坝成坤客栈,四川,阿坝,四姑娘山,二星及其他,低星,15,5.0,1,34.06,1,2,1,1,1,1,1,1,0,0.0,34147.0,0.079
2590,金川乡巴佬农家乐,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2591,理县康源生态农庄,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,2,2,1,1,1,1,1,1,0,0.0,34147.0,0.079
2592,阿坝红原白河龙渡湾跑马场大本营住宿,四川,阿坝,毕棚沟,二星及其他,低星,12,4.184470177,10,34.06,3,4,2,3,3,4,2,3,0,0.0,34147.0,0.079
2593,阿坝馨悦商务客栈,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,1,1.0,34147.0,0.079
2594,阿坝理县锦蓉宾馆,四川,阿坝,古尔沟,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2595,九寨沟金哈达酒店,四川,阿坝,漳扎镇,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
2596,理县迎祥酒店,四川,阿坝,毕棚沟,二星及其他,低星,20,5.0,1,34.06,21,23,6,7,21,23,6,7,8,0.381,34147.0,0.079
