交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2024/1/31 16:59,商户消费,小米科技有限责任公司,小米-5240131188313108,支出,￥116.10,零钱通,支付成功,"4200002137202401311879362359	","13Q321706691535602200188	",/
2024/1/31 16:17,商户消费,湘行一卡通,公交卡充值1.40元,支出,￥1.40,零钱通,支付成功,"4200002095202401315038867395	","R202401311617166454516698598	",/
2024/1/31 16:17,商户消费,湘行一卡通,公交卡充值1.40元,支出,￥1.40,零钱通,支付成功,"4200002109202401314253017769	","R202401311617034896055124648	",/
2024/1/31 11:22,微信红包（单发）,发给????妈妈1,/,支出,￥8.80,零钱通,支付成功,"100003980124013100050123450219808131	","1000039801202401316072537237571	",/
2024/1/31 11:22,微信红包（单发）,发给????妈妈1,/,支出,￥8.80,零钱通,支付成功,"100003980124013100050123450219700131	","1000039801202401316269632765793	",/
2024/1/31 10:24,转入零钱通-来自零钱,/,/,/,￥28.00,零钱,支付成功,"4200002070202401318184425295	","18000077742401310025799374751131	",/
2024/1/31 10:24,转账,????妈妈1,转账备注:微信转账,收入,￥28.00,/,已存入零钱,"1000050001202401311722343991386	","/	",/
2024/1/31 10:23,转入零钱通-来自零钱,/,/,/,"￥2,100.00",零钱,支付成功,"4200002089202401311237348393	","18000077742401310025314347699131	",/
2024/1/31 10:23,转账,????妈妈1,转账备注:微信转账,收入,"￥2,100.00",/,已存入零钱,"1000050001202401310321697393634	","/	",/
2024/1/31 10:22,转入零钱通-来自零钱,/,/,/,￥0.08,零钱,支付成功,"4200002075202401314705499350	","18000077742401310025699339445131	",/
2024/1/31 10:21,商户消费,湖北特产武汉江汉路店,湖北特产武汉江汉路C出口店,支出,￥56.00,零钱通,支付成功,"4200067706202401317071722708	","7895229284516488	",/
2024/1/31 10:21,其他,打开拼多多，领更多现金红包,/,收入,￥0.08,/,已到账,"160574585024013110108004226566378592112131702	","1200126579090240131010101076304752878157	",打开拼多多，领更多现金红包
2024/1/30 10:41,转入零钱通-来自零钱,/,/,/,￥0.09,零钱,支付成功,"4200002090202401306388430411	","18000077742401300025313816309131	",/
2024/1/30 1:09,其他,打开拼多多，领更多现金红包,/,收入,￥0.09,/,已到账,"152190117124013010112004345501286812112131002	","1200103424739240130010001054604177130545	",打开拼多多，领更多现金红包
2024/1/29 16:15,转账,????妈妈1,转账备注:微信转账,支出,"￥2,100.00",零钱通,对方已收钱,"53010000202033202401291778555784	","1000050001202401293728224725387	",/
2024/1/29 10:56,商户消费,湘行一卡通,公交卡充值5.00元,支出,￥5.00,零钱通,支付成功,"4200002122202401290624649222	","R202401291056137657478117919	",/
2024/1/29 9:10,转入零钱通-来自零钱,/,/,/,￥390.09,零钱,支付成功,"4200002062202401296047310077	","18000077742401290025891699051131	",/
2024/1/29 9:10,转账,????妈妈1,转账备注:微信转账,收入,￥390.00,/,已存入零钱,"1000050001202401290028085604605	","/	",/
2024/1/29 8:27,其他,打开拼多多，领更多现金红包,/,收入,￥0.09,/,已到账,"160901214224012910112004345596010314112131919	","1200129707079240129010001098303853269515	",打开拼多多，领更多现金红包
2024/1/28 10:53,转入零钱通-来自零钱,/,/,/,￥0.26,零钱,支付成功,"4200002084202401289296036062	","18000077742401280025689599518131	",/
2024/1/28 8:54,其他,打开拼多多，领更多现金红包,/,收入,￥0.15,/,已到账,"160876236724012810104004628754758453112131549	","1200129470324240128010301098303515522486	",打开拼多多，领更多现金红包
2024/1/27 6:38,其他,打开拼多多，领更多现金红包,/,收入,￥0.11,/,已到账,"160865847824012710107004218803462340112131125	","1200129372608240127010101072103050172491	",打开拼多多，领更多现金红包
2024/1/26 15:42,转入零钱通-来自零钱,/,/,/,￥0.77,零钱,支付成功,"4200002069202401261110867016	","18000077742401260025582981624131	",/
2024/1/26 6:09,其他,打开拼多多，领更多现金红包,/,收入,￥0.16,/,已到账,"152190117124012610112004346573470830112131002	","1200103424739240126010301081102652766401	",打开拼多多，领更多现金红包
2024/1/25 6:49,其他,打开拼多多，领更多现金红包,/,收入,￥0.14,/,已到账,"160901216924012510105004337184407739112131908	","1200129707125240125010201051902212830115	",打开拼多多，领更多现金红包
2024/1/24 6:43,其他,打开拼多多，领更多现金红包,/,收入,￥0.16,/,已到账,"160901216924012410101004316202909011112131908	","1200129707125240124010401049401821698836	",打开拼多多，领更多现金红包
2024/1/23 20:34,其他,打开拼多多，领更多现金红包,/,收入,￥0.03,/,已到账,"160901214224012310106004245044694682112131919	","1200129707079240123010301047401645376278	",打开拼多多，领更多现金红包
2024/1/23 16:27,其他,打开拼多多，领更多现金红包,/,收入,￥0.15,/,已到账,"160893854324012310112004346556764325112131892	","1200129637529240123010501085101637378997	",打开拼多多，领更多现金红包
2024/1/22 13:24,其他,打开拼多多，领更多现金红包,/,收入,￥0.13,/,已到账,"152206076124012210101004616291469523112131185	","1200103427148240122010101017701097023914	",打开拼多多，领更多现金红包
2024/1/22 7:57,转入零钱通-来自零钱,/,/,/,￥20.38,零钱,支付成功,"4200002084202401221825114808	","18000077742401220025470712606131	",/
2024/1/22 7:56,转账,????妈妈1,转账备注:微信转账,收入,￥20.00,/,已存入零钱,"1000050001202401222329735007081	","/	",/
2024/1/22 7:53,商户消费,湘行一卡通,公交卡充值10.00元,支出,￥10.00,零钱通,支付成功,"4200002126202401227322036575	","R202401220753089028186124790	",/
2024/1/21 15:07,其他,打开拼多多，领更多现金红包,/,收入,￥0.11,/,已到账,"160876232124012110101004616284741053112131738	","1200129470310240121010201008000741689306	",打开拼多多，领更多现金红包
2024/1/19 21:47,其他,打开拼多多，领更多现金红包,/,收入,￥0.13,/,已到账,"160866058824011910106004245920897625112131894	","1200129374623240119010401092700109286087	",打开拼多多，领更多现金红包
2024/1/18 19:44,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"160893851224011810108004226579957132112131983	","1200129637517240118010201075809719025973	",打开拼多多，领更多现金红包
2024/1/18 19:36,其他,打开拼多多，领更多现金红包,/,收入,￥0.13,/,已到账,"152278259124011810106004546164800543112131037	","1200103597703240118010401004409699849746	",打开拼多多，领更多现金红包
2024/1/17 17:48,商户消费,Valve,Steam Purchase 1213962788,支出,￥42.00,零钱通,支付成功,"4200002121202401179426779438	","S2P624449005	",/
2024/1/17 17:22,转入零钱通-来自零钱,/,/,/,￥100.00,零钱,支付成功,"4200002070202401171163537741	","18000077742401170025757009638131	",/
2024/1/17 17:22,转账,????妈妈1,转账备注:微信转账,收入,￥100.00,/,已存入零钱,"1000050001202401170320638666257	","/	",/
2024/1/17 16:57,转入零钱通-来自零钱,/,/,/,￥26.37,零钱,支付成功,"4200002067202401179255459110	","18000077742401170025756913239131	",/
2024/1/17 16:57,转账,????妈妈1,转账备注:微信转账,收入,￥26.05,/,已存入零钱,"1000050001202401170229520414765	","/	",/
2024/1/17 16:55,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"132329130124011710110004448380080633112131264	","1200011594745240117010501000109180011478	",打开拼多多，领更多现金红包
2024/1/17 16:55,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"152206076124011710105004638332253558112131185	","1200103427148240117010501080509171029150	",打开拼多多，领更多现金红包
2024/1/17 16:54,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"152206076124011710101004618047431233112131185	","1200103427148240117010001087309160870614	",打开拼多多，领更多现金红包
2024/1/17 16:54,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"160865847824011710106004245001445491112131125	","1200129372608240117010401020609141697549	",打开拼多多，领更多现金红包
2024/1/17 16:53,其他,打开拼多多，领更多现金红包,/,收入,￥0.13,/,已到账,"160893862324011710111004536687008768112131807	","1200129637614240117010401012709133369390	",打开拼多多，领更多现金红包
2024/1/17 11:43,中铁网络-退款,中铁网络,中铁网络,收入,￥67.00,零钱通,已全额退款,"50303108382024011723368115637	","	",/
2024/1/17 11:39,商户消费,中铁网络,12306消费,支出,￥67.00,零钱通,已全额退款,"4200002056202401174292258627	","M20240117257470538	",/
2024/1/17 11:16,商户消费,零食很忙,零食很忙长沙蒋家垅店-消费,支出,￥26.05,零钱通,支付成功,"4200002073202401178265489542	","60506428240170060032	",/
2024/1/15 12:44,商户消费,滴滴出行,滴滴打车-向师傅,支出,￥11.20,零钱通,支付成功,"4200002058202401153890676080	","105_202401157969673601183701	",/
2024/1/14 9:42,其他,打开拼多多，点击底部"多多视频"领现金,/,收入,￥0.01,/,已到账,"160871516524011410103004115149195161112131135	","1200129426281240114010301047307830057175	",打开拼多多，点击底部"多多视频"领现金
2024/1/14 9:41,其他,打开拼多多，点击底部"多多视频",/,收入,￥0.14,/,已到账,"160876228124011410111004535064781382112131965	","1200129470293240114010101022807837099055	",打开拼多多，点击底部"多多视频"
2024/1/13 15:26,转入零钱通-来自零钱,/,/,/,￥37.50,零钱,支付成功,"4200002090202401134213080586	","18000077742401130025542191154131	",/
2024/1/13 15:25,转账,????妈妈1,转账备注:微信转账,收入,￥37.50,/,已存入零钱,"1000050001202401130821780576075	","/	",/
2024/1/13 15:22,商户消费,零食很忙,零食很忙长沙蒋家垅店-消费,支出,￥37.50,零钱通,支付成功,"4200066296202401135346402150	","60506428240130060189B	",/
2024/1/12 19:16,转入零钱通-来自零钱,/,/,/,￥0.09,零钱,支付成功,"4200002076202401126658090075	","18000077742401120025305544834131	",/
2024/1/12 19:15,其他,打开拼多多，点击底部"多多视频"领现金,/,收入,￥0.01,/,已到账,"152190117124011210110004146079173713112131002	","1200103424739240112010401061007137627791	",打开拼多多，点击底部"多多视频"领现金
2024/1/12 19:15,其他,打开拼多多，点击底部"多多视频",/,收入,￥0.08,/,已到账,"160866058824011210103004115837275165112131894	","1200129374623240112010001098307118814052	",打开拼多多，点击底部"多多视频"
2024/1/12 19:14,扫二维码付款,福垅食品店,收款方备注:二维码收款,支出,￥3.00,零钱通,已转账,"100004990124011200056124518369361131	","10000499012024011201614664234607	",/
2024/1/12 19:07,转账,????妈妈1,转账备注:微信转账,支出,￥50.00,零钱通,对方已收钱,"53010000178052202401123160443027	","1000050001202401120227377293501	",/
2024/1/12 13:42,商户消费,拼多多平台商户,商户单号XP1524011213200415436561001717,支出,￥9.90,零钱通,支付成功,"4200002116202401126863317761	","XP1524011213200415436561001717	",/
2024/1/12 13:18,转入零钱通-来自零钱,/,/,/,￥3.00,零钱,支付成功,"4200002074202401121237025558	","18000077742401120025838709709131	",/
2024/1/12 13:16,二维码收款,遨游命运的影子,收款方备注:二维码收款,收入,￥3.00,零钱,已收钱,"10001071012024011201060810963523	","/	",/
2024/1/11 21:59,转入零钱通-来自零钱,/,/,/,￥0.01,零钱,支付成功,"4200002084202401113122549741	","18000077742401110025837114797131	",/
2024/1/11 21:59,其他,打开拼多多，点击底部"多多视频",/,收入,￥0.01,/,已到账,"160574585024011110102004125226372200112131702	","1200126579090240111010301055606795427575	",打开拼多多，点击底部"多多视频"
2024/1/11 21:39,转入零钱通-来自零钱,/,/,/,￥0.19,零钱,支付成功,"4200002070202401119023928960	","18000077742401110025837064219131	",/
2024/1/11 21:26,其他,打开拼多多，点击底部"多多视频"领现金,/,收入,￥0.01,/,已到账,"160572459524011110111004535546356139112131937	","1200126558674240111010501057306732641319	",打开拼多多，点击底部"多多视频"领现金
2024/1/11 21:26,其他,打开拼多多，点击底部"多多视频",/,收入,￥0.03,/,已到账,"160893862324011110101004618004701197112131807	","1200129637614240111010401046606772850302	",打开拼多多，点击底部"多多视频"
2024/1/11 21:26,其他,打开拼多多，点击底部"多多视频",/,收入,￥0.02,/,已到账,"160901214224011110112004345576939088112131919	","1200129707079240111010101031906808415249	",打开拼多多，点击底部"多多视频"
2024/1/11 21:26,其他,打开拼多多，点击底部"多多视频",/,收入,￥0.13,/,已到账,"160901214224011110101004318180385120112131919	","1200129707079240111010201010406781194378	",打开拼多多，点击底部"多多视频"
2024/1/11 21:25,转入零钱通-来自零钱,/,/,/,￥0.05,零钱,支付成功,"4200002079202401116053248658	","18000077742401110025737964300131	",/
2024/1/11 19:07,扫二维码付款,蒋家垅照相,收款方备注:二维码收款,支出,￥7.00,零钱通,已转账,"100004990124011100056123315073544131	","10000499012024011101356952827539	",/
2024/1/9 19:04,其他,打开拼多多，点击底部"多多视频"进入直播间领现金,/,收入,￥0.02,/,已到账,"160901219824010910104004625624641484112131804	","1200129707174240109010501091105750388429	",打开拼多多，点击底部"多多视频"进入直播间领现金
2024/1/9 19:04,其他,红包助手，现金天天有,/,收入,￥0.03,/,已到账,"160574585024010910107004218557313186112131702	","1200126579090240109010501022305735013836	",红包助手，现金天天有
2024/1/5 17:33,转入零钱通-来自零钱,/,/,/,￥245.00,零钱,支付成功,"4200002063202401058606809227	","18000077742401050025816259996131	",/
2024/1/5 17:33,转账,????妈妈1,转账备注:微信转账,收入,￥245.00,/,已存入零钱,"1000050001202401050821440530870	","/	",/
2024/1/5 17:00,商户消费,零食很忙,零食很忙长沙蒋家垅店-消费,支出,￥32.53,零钱通,支付成功,"4200066298202401051770472658	","60506428240050060157	",/
2024/1/5 16:31,商户消费,中国电信,为13786172582充值211.0元，谨防诈骗,支出,￥209.95,零钱通,支付成功,"4200002094202401058991406694	","ZY2401051631210070169719	",/
2024/1/5 9:39,转入零钱通-来自零钱,/,/,/,￥3.06,零钱,支付成功,"4200002074202401059569844341	","18000077742401050025615531105131	",/
2024/1/5 8:46,微信红包-退款,/,/,收入,￥3.06,零钱,已退款￥3.06,"1000039901202401046043459390205	","	",/
2024/1/4 9:29,转入零钱通-来自零钱,/,/,/,￥12.52,零钱,支付成功,"4200002073202401047813853371	","18000077742401040025412037379131	",/
2024/1/4 9:28,微信红包,燕,/,收入,￥9.48,/,已存入零钱,"1000039901009401046232961759638	","1000039901202401046232961759638	",/
2024/1/4 9:28,微信红包,宸心宸奕,/,收入,￥3.04,/,已存入零钱,"1000039901007401046390364701541	","1000039901202401046390364701541	",/
2024/1/4 8:46,转入零钱通-来自零钱,/,/,/,￥24.99,零钱,支付成功,"4200002071202401045148791374	","18000077742401040025612047007131	",/
2024/1/4 8:46,微信红包（群红包）,发出群红包,/,支出,￥20.00,零钱,已退款(￥3.06),"100003990124010400050127090643239131	","1000039901202401046043459390205	",/
2024/1/4 8:45,微信红包,JING世骇俗,/,收入,￥2.74,/,已存入零钱,"1000039901009401047356297766467	","1000039901202401047356297766467	",/
2024/1/4 8:45,微信红包,管管,/,收入,￥0.96,/,已存入零钱,"1000039901009401047135425119186	","1000039901202401047135425119186	",/
2024/1/4 8:45,微信红包,CECI??,/,收入,￥12.48,/,已存入零钱,"1000039901010401047417789704502	","1000039901202401047417789704502	",/
2024/1/4 8:45,微信红包,晓红,/,收入,￥0.84,/,已存入零钱,"1000039901011401036215525397900	","1000039901202401036215525397900	",/
2024/1/4 8:45,微信红包,黄波涛,/,收入,￥10.10,/,已存入零钱,"1000039901011401036328048734144	","1000039901202401036328048734144	",/
2024/1/4 8:45,微信红包,星沙之馨,/,收入,￥17.87,/,已存入零钱,"1000039901011401037287922347041	","1000039901202401037287922347041	",/
